,,,Colonna45,Colonna43,Colonna41,Colonna40,#,Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
144,,−,,,,,119,Seaking,Ice Beam,Megahorn,Peck,Water Pulse,Waterfall,**Drill Run,**Icy Wind,**Poison Jab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,−,,,,,120,Staryu,Bubble Beam,Power Gem,Swift,Tackle,Water Gun,✝ Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,−,,,,,121,Starmie,Hidden Power,Hydro Pump,Ice Beam,Power Gem,Psychic,Thunder,Water Gun,**Tackle,✝ Psybeam,✝ Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,−,,,,,122,Mr. Mime,Confusion,Psybeam,Psychic,Shadow Ball,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,−,,,,,123,Scyther,Aerial Ace,Air Slash,Fury Cutter,Night Slash,Return,X-Scissor,**Bug Buzz,**Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,−,,,,,124,Jynx,Avalanche,Confusion,Draining Kiss,Focus Blast,Frost Breath,Psyshock,**Ice Punch,**Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,−,,,,,125,Electabuzz,Low Kick,Return,Thunder,Thunder Punch,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,−,,,,,126,Magmar,Ember,Fire Blast,Fire Punch,Flamethrower,Karate Chop,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,−,,,,,127,Pinsir,Bug Bite,Close Combat,Fury Cutter,Return,Rock Smash,Superpower,Vise Grip,X-Scissor,**Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,−,,,,,128,Tauros,Earthquake,Horn Attack,Iron Head,Tackle,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,−,,,,,129,Magikarp,Return,Splash,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,−,,,,,130,Gyarados,Bite,Crunch,Dragon Breath,Hydro Pump,Outrage,Return,Twister,Waterfall,**Dragon Pulse,**Dragon Tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,−,,,,,131,Lapras,Blizzard,Frost Breath,Hydro Pump,Return,Skull Bash,Surf,Water Gun,* Ice Beam,* Ice Shard,**Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,−,,,,,132,Ditto,Struggle,Transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,−,,,,,133,Eevee,Dig,Quick Attack,Swift,Tackle,* Last Resort,**Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,−,,,,,134,Vaporeon,Aqua Tail,Hydro Pump,Water Gun,Water Pulse,* Last Resort,* Scald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,−,,,,,135,Jolteon,Discharge,Thunder,Thunder Shock,Thunderbolt,Volt Switch,* Last Resort,* Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,−,,,,,136,Flareon,Ember,Fire Blast,Fire Spin,Flamethrower,Overheat,Return,* Last Resort,* Superpower,**Heat Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,−,,,,,137,Porygon,Charge Beam,Hidden Power,Hyper Beam,Return,Solar Beam,Zap Cannon,**Discharge,**Psybeam,**Signal Beam,**Tackle,**Zen Headbutt,✝ Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,−,,,,,138,Omanyte,Ancient Power,Bubble Beam,Mud Shot,Return,Rock Blast,Water Gun,**Brine,**Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,−,,,,,139,Omastar,Ancient Power,Hydro Pump,Mud Shot,Return,Rock Blast,Water Gun,**Rock Slide,**Rock Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,−,,,,,140,Kabuto,Ancient Power,Aqua Jet,Mud Shot,Rock Tomb,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,−,,,,,141,Kabutops,Ancient Power,Mud Shot,Rock Smash,Stone Edge,Water Pulse,Waterfall,**Fury Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,−,,,,,142,Aerodactyl,Ancient Power,Bite,Earth Power,Hyper Beam,Iron Head,Rock Slide,Rock Throw,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,−,,,,,143,Snorlax,Body Slam,Earthquake,Heavy Slam,Hyper Beam,Lick,Outrage,Return,Skull Bash,Superpower,Zen Headbutt,* Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,−,,,,,144,Articuno,Ancient Power,Blizzard,Frost Breath,Ice Beam,Ice Shard,Icy Wind,Return,* Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,−,,,,,145,Zapdos,Ancient Power,Charge Beam,Discharge,Drill Peck,Return,Thunder,Thunderbolt,Zap Cannon,* Thunder Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,−,,,,,146,Moltres,Ancient Power,Ember,Fire Blast,Fire Spin,Heat Wave,Overheat,Return,Wing Attack,* Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,−,,,,,147,Dratini,Aqua Tail,Dragon Breath,Iron Tail,Return,Twister,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,−,,,,,148,Dragonair,Aqua Tail,Dragon Breath,Dragon Pulse,Iron Tail,Return,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,−,,,,,149,Dragonite,Dragon Breath,Dragon Claw,Dragon Tail,Hurricane,Hyper Beam,Outrage,Return,Steel Wing,* Draco Meteor,**Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,−,,,,,150,Mewtwo,Confusion,Flamethrower,Focus Blast,Ice Beam,Psychic,Psycho Cut,Thunderbolt,* Psystrike,* Shadow Ball,**Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,−,,,,,150,Mewtwo-Armored,Confusion,Dynamic Punch,Earthquake,Future Sight,Iron Tail,Rock Slide,* Psystrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,−,,,,,151,Mew,Ancient Power,Blizzard,Bulldoze,Charge Beam,Cut,Dark Pulse,Dazzling Gleam,Dragon Claw,Dragon Tail,Energy Ball,Flame Charge,Flash Cannon,Focus Blast,Frost Breath,Grass Knot,Gyro Ball,Hyper Beam,Ice Beam,Infestation,Low Sweep,Overheat,Poison Jab,Pound,Psychic,Psyshock,Rock Slide,Rock Smash,Shadow Claw,Snarl,Solar Beam,Steel Wing,Stone Edge,Struggle Bug,Surf,Thunder,Thunderbolt,Volt Switch,Waterfall,Wild Charge
178,,−,,,,,152,Chikorita,Body Slam,Energy Ball,Grass Knot,Tackle,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,−,,,,,153,Bayleef,Ancient Power,Energy Ball,Grass Knot,Razor Leaf,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,−,,,,,154,Meganium,Earthquake,Petal Blizzard,Razor Leaf,Solar Beam,Vine Whip,* Frenzy Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,−,,,,,155,Cyndaquil,Ember,Flame Charge,Flamethrower,Swift,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,−,,,,,156,Quilava,Dig,Ember,Flame Charge,Flamethrower,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,−,,,,,157,Typhlosion,Ember,Fire Blast,Incinerate,Overheat,Shadow Claw,Solar Beam,* Blast Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,−,,,,,158,Totodile,Aqua Jet,Crunch,Scratch,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,−,,,,,159,Croconaw,Crunch,Ice Punch,Scratch,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,−,,,,,160,Feraligatr,Bite,Crunch,Hydro Pump,Ice Beam,Ice Fang,Waterfall,* Hydro Cannon,**Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,−,,,,,161,Sentret,Brick Break,Dig,Grass Knot,Quick Attack,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,−,,,,,162,Furret,Brick Break,Dig,Hyper Beam,Quick Attack,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,−,,,,,163,Hoothoot,Aerial Ace,Feint Attack,Night Shade,Peck,Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,−,,,,,164,Noctowl,Extrasensory,Night Shade,Psychic,Shadow Ball,Sky Attack,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,−,,,,,165,Ledyba,Aerial Ace,Bug Bite,Silver Wind,Swift,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,−,,,,,166,Ledian,Aerial Ace,Bug Bite,Bug Buzz,Silver Wind,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,−,,,,,167,Spinarak,Bug Bite,Cross Poison,Night Slash,Poison Sting,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,−,,,,,168,Ariados,Cross Poison,Infestation,Lunge,Megahorn,Poison Sting,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,−,,,,,169,Crobat,Air Cutter,Air Slash,Bite,Cross Poison,Poison Fang,Return,Shadow Ball,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,−,,,,,170,Chinchou,Bubble,Bubble Beam,Spark,Thunderbolt,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,−,,,,,171,Lanturn,Charge Beam,Hydro Pump,Spark,Thunder,Thunderbolt,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,−,,,,,172,Pichu,Disarming Voice,Thunder Punch,Thunder Shock,Thunderbolt,✝ Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,−,,,,,173,Cleffa,Grass Knot,Pound,Psyshock,Signal Beam,Zen Headbutt,**Body Slam,**Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,−,,,,,174,Igglybuff,Feint Attack,Pound,Psychic,Shadow Ball,Wild Charge,**Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,−,,,,,175,Togepi,Ancient Power,Dazzling Gleam,Hidden Power,Peck,Psyshock,**Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,−,,,,,176,Togetic,Aerial Ace,Ancient Power,Dazzling Gleam,Extrasensory,Hidden Power,**Steel Wing,**Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,−,,,,,177,Natu,Drill Peck,Night Shade,Peck,Psyshock,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,−,,,,,178,Xatu,Aerial Ace,Air Slash,Feint Attack,Future Sight,Ominous Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,−,,,,,179,Mareep,Body Slam,Discharge,Return,Tackle,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,−,,,,,180,Flaaffy,Charge Beam,Discharge,Power Gem,Return,Tackle,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,−,,,,,181,Ampharos,Charge Beam,Focus Blast,Power Gem,Return,Thunder,Thunder Punch,Volt Switch,Zap Cannon,* Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,−,,,,,182,Bellossom,Acid,Bullet Seed,Dazzling Gleam,Leaf Blade,Petal Blizzard,Razor Leaf,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,−,,,,,183,Marill,Aqua Tail,Body Slam,Bubble,Bubble Beam,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,−,,,,,184,Azumarill,Bubble,Hydro Pump,Ice Beam,Play Rough,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,−,,,,,185,Sudowoodo,Counter,Earthquake,Rock Slide,Rock Throw,Rock Tomb,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,−,,,,,186,Politoed,Blizzard,Bubble,Hydro Pump,Mud Shot,Return,Surf,Weather Ball (Water),**Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,−,,,,,187,Hoppip,Bullet Seed,Dazzling Gleam,Grass Knot,Seed Bomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,−,,,,,188,Skiploom,Bullet Seed,Dazzling Gleam,Energy Ball,Grass Knot,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,−,,,,,189,Jumpluff,Aerial Ace,Bullet Seed,Dazzling Gleam,Energy Ball,Infestation,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,−,,,,,190,Aipom,Aerial Ace,Astonish,Low Sweep,Scratch,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,−,,,,,191,Sunkern,Cut,Energy Ball,Grass Knot,Razor Leaf,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,−,,,,,192,Sunflora,Bullet Seed,Leaf Storm,Petal Blizzard,Razor Leaf,Sludge Bomb,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,−,,,,,193,Yanma,Aerial Ace,Ancient Power,Quick Attack,Silver Wind,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,−,,,,,194,Wooper,Body Slam,Dig,Mud Bomb,Mud Shot,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,−,,,,,195,Quagsire,Acid Spray,Earthquake,Mud Shot,Sludge Bomb,Stone Edge,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,−,,,,,196,Espeon,Confusion,Future Sight,Psybeam,Psychic,Zen Headbutt,* Last Resort,* Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,−,,,,,197,Umbreon,Dark Pulse,Feint Attack,Foul Play,Snarl,* Last Resort,* Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,−,,,,,198,Murkrow,Dark Pulse,Drill Peck,Feint Attack,Foul Play,Peck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,−,,,,,199,Slowking,Blizzard,Confusion,Fire Blast,Psychic,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,−,,,,,200,Misdreavus,Astonish,Dark Pulse,Hex,Ominous Wind,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,−,,,,,201,Unown,Hidden Power,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,−,,,,,202,Wobbuffet,Charm,Counter,Mirror Coat,Return,Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,−,,,,,203,Girafarig,Confusion,Mirror Coat,Psychic,Tackle,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,−,,,,,204,Pineco,Bug Bite,Gyro Ball,Rock Tomb,Sand Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,−,,,,,205,Forretress,Bug Bite,Earthquake,Heavy Slam,Mirror Shot,Rock Tomb,Sand Tomb,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,−,,,,,206,Dunsparce,Astonish,Bite,Dig,Drill Run,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,−,,,,,207,Gligar,Aerial Ace,Dig,Fury Cutter,Night Slash,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,−,,,,,208,Steelix,Crunch,Dragon Tail,Earthquake,Heavy Slam,Iron Tail,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,−,,,,,209,Snubbull,Bite,Brick Break,Crunch,Dazzling Gleam,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,−,,,,,210,Granbull,Bite,Charm,Close Combat,Crunch,Play Rough,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,−,,,,,211,Qwilfish,Acid Spray,Aqua Tail,Fell Stinger,Ice Beam,Poison Sting,Sludge Wave,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,−,,,,,212,Scizor,Bullet Punch,Fury Cutter,Iron Head,Night Slash,Return,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,−,,,,,213,Shuckle,Gyro Ball,Rock Blast,Rock Throw,Stone Edge,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,−,,,,,214,Heracross,Close Combat,Counter,Earthquake,Megahorn,Rock Blast,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,−,,,,,215,Sneasel,Avalanche,Feint Attack,Foul Play,Ice Punch,Ice Shard,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,−,,,,,216,Teddiursa,Cross Chop,Crunch,Lick,Play Rough,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,−,,,,,217,Ursaring,Close Combat,Counter,Hyper Beam,Metal Claw,Play Rough,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,−,,,,,218,Slugma,Ember,Flame Burst,Flame Charge,Rock Slide,Rock Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,−,,,,,219,Magcargo,Ember,Heat Wave,Incinerate,Overheat,Rock Throw,Rock Tomb,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,−,,,,,220,Swinub,Body Slam,Icy Wind,Powder Snow,Rock Slide,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,−,,,,,221,Piloswine,Avalanche,Bulldoze,Ice Shard,Powder Snow,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,−,,,,,222,Corsola,Bubble,Bubble Beam,Power Gem,Rock Blast,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,−,,,,,223,Remoraid,Aurora Beam,Mud Shot,Rock Blast,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,−,,,,,224,Octillery,Acid Spray,Aurora Beam,Gunk Shot,Lock-On,Mud Shot,Octazooka,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,225,Delibird,Aerial Ace,Ice Punch,Ice Shard,Icy Wind,Present,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,226,Mantine,Aerial Ace,Bubble,Bubble Beam,Bullet Seed,Ice Beam,Water Pulse,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,227,Skarmory,Air Slash,Brave Bird,Flash Cannon,Sky Attack,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,228,Houndour,Crunch,Dark Pulse,Ember,Feint Attack,Flamethrower,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,229,Houndoom,Crunch,Fire Blast,Fire Fang,Flamethrower,Foul Play,Return,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,230,Kingdra,Blizzard,Dragon Breath,Hydro Pump,Octazooka,Outrage,Waterfall,**Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,231,Phanpy,Body Slam,Bulldoze,Rock Slide,Rock Smash,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,232,Donphan,Body Slam,Charm,Counter,Earthquake,Heavy Slam,Mud Slap,Play Rough,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Porygon2,233,Porygon2,Charge Beam,Hidden Power,Hyper Beam,Lock-On,Return,Solar Beam,Tri Attack,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,234,Stantler,Megahorn,Stomp,Tackle,Wild Charge,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,235,Smeargle,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,236,Tyrogue,Brick Break,Low Sweep,Rock Slide,Rock Smash,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,237,Hitmontop,Close Combat,Counter,Gyro Ball,Rock Smash,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,238,Smoochum,Ice Beam,Ice Punch,Pound,Powder Snow,Psyshock,**Frost Breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,239,Elekid,Brick Break,Discharge,Low Kick,Thunder Punch,Thunder Shock,**Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,240,Magby,Brick Break,Ember,Fire Punch,Flame Burst,Karate Chop,**Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,241,Miltank,Body Slam,Gyro Ball,Ice Beam,Stomp,Tackle,Thunderbolt,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,242,Blissey,Dazzling Gleam,Hyper Beam,Pound,Psychic,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,243,Raikou,Return,Shadow Ball,Thunder,Thunder Shock,Thunderbolt,Volt Switch,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,244,Entei,Fire Blast,Fire Fang,Fire Spin,Flame Charge,Flamethrower,Iron Head,Overheat,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,245,Suicune,Bubble Beam,Extrasensory,Hydro Pump,Ice Beam,Ice Fang,Snarl,Water Pulse,**Hidden Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,246,Larvitar,Ancient Power,Bite,Crunch,Return,Rock Smash,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,247,Pupitar,Ancient Power,Bite,Crunch,Dig,Return,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,248,Tyranitar,Bite,Crunch,Fire Blast,Iron Tail,Return,Stone Edge,* Smack Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,249,Lugia,Dragon Tail,Extrasensory,Future Sight,Hydro Pump,Sky Attack,* Aeroblast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,250,Ho-Oh,Brave Bird,Extrasensory,Fire Blast,Hidden Power,Incinerate,Solar Beam,Steel Wing,* Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,251,Celebi,Charge Beam,Confusion,Dazzling Gleam,Leaf Storm,Hyper Beam,Psychic,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,252,Treecko,Aerial Ace,Bullet Seed,Energy Ball,Grass Knot,Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,253,Grovyle,Aerial Ace,Bullet Seed,Grass Knot,Leaf Blade,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,254,Sceptile,Aerial Ace,Bullet Seed,Dragon Claw,Earthquake,Fury Cutter,Leaf Blade,* Frenzy Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,255,Torchic,Ember,Flame Charge,Flamethrower,Rock Tomb,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,256,Combusken,Ember,Flame Charge,Flamethrower,Peck,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,257,Blaziken,Blaze Kick,Brave Bird,Counter,Fire Spin,Focus Blast,Overheat,* Blast Burn,**Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,258,Mudkip,Dig,Return,Sludge,Stomp,Tackle,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,259,Marshtomp,Mud Bomb,Mud Shot,Return,Sludge,Surf,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,260,Swampert,Earthquake,Mud Shot,Muddy Water,Return,Sludge Wave,Surf,Water Gun,* Hydro Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,261,Poochyena,Crunch,Dig,Poison Fang,Snarl,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,262,Mightyena,Bite,Crunch,Fire Fang,Ice Fang,Play Rough,Poison Fang,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,263,Zigzagoon,Dig,Grass Knot,Rock Smash,Tackle,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,263,Zigzagoon-Galar,Body Slam,Dig,Swift,Tackle,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,264,Linoone,Dig,Grass Knot,Shadow Claw,Tackle,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,264,Linoone-Galar,Body Slam,Dig,Gunk Shot,Lick,Snarl,✝ Grass Knot,✝ Shadow Claw,✝ Tackle,✝ Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,265,Wurmple,Bug Bite,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,266,Silcoon,Bug Bite,Poison Sting,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
